id,username,created_at,lng,lat,text
1.51E+18,wikamii,Thu Apr 14 01:07:35 +0000 2022,139.7395145,35.566894,Wordle 299 6/6⬛🟩⬛⬛🟩⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛🟩⬛⬛🟩⬛🟩⬛⬛🟩🟩🟩🟩🟩🟩細切れにしてやるー
1.51E+18,johnjniv,Thu Apr 14 01:10:28 +0000 2022,-66.6665775,45.945462,That was a bit lucky! Wordle 298 3/6⬛⬛⬛⬛⬛⬛⬛⬛⬛🟨🟩🟩🟩🟩🟩
1.51E+18,MonologxBleber,Thu Apr 14 01:10:52 +0000 2022,101.6846865,3.124524,Wordle 298 5/6⬛🟨⬛⬛⬛🟨🟨⬛⬛⬛⬛⬛⬛🟩⬛⬛⬛🟩🟩⬛🟩🟩🟩🟩🟩
1.51E+18,SoyDramaCat,Thu Apr 14 01:11:30 +0000 2022,-99.655676,19.2843215,Wordle (ES)  #97 5/6⬛🟨⬛⬛⬛⬛⬛🟩🟨⬛⬛🟩🟩🟨⬛⬛🟩🟩🟩🟩🟩🟩🟩🟩🟩 https://t.co/YJqG1xeNWsHola 👋
1.51E+18,eraDc8r,Thu Apr 14 01:11:31 +0000 2022,121.0627355,14.683012,Wordle 299 4/6⬜⬜⬜⬜🟩⬜🟨⬜⬜🟩🟨⬜🟨🟨🟩🟩🟩🟩🟩🟩
1.51E+18,nuriarm96,Thu Apr 14 01:13:11 +0000 2022,-3.7035075,40.4777945,RegulinchiWordle (ES)  #97 6/6⬜🟨⬜⬜⬜⬜⬜⬜⬜🟩⬜⬜⬜🟨🟩⬜🟩🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩 https://t.co/LCZrrsvQFi
1.51E+18,Lesmitch529,Thu Apr 14 01:14:02 +0000 2022,-121.469664,38.561722,"@BerkeleyFog @califorleanian Shockingly, I went to bed before midnight and if Katie hadn't posted about disgracing… https://t.co/21j9STGmDb"
1.51E+18,vikramsvishal,Thu Apr 14 01:14:24 +0000 2022,77.5584485,12.9231145,Wordle 299 3/6🟨⬜⬜🟨🟩⬜⬜⬜🟨⬜🟩🟩🟩🟩🟩
1.51E+18,dadge,Thu Apr 14 01:16:26 +0000 2022,-1.8906405,52.4939665,Wordle 299 2/6⬜⬜⬜⬜⬜🟩🟩🟩🟩🟩
1.51E+18,andrew_cadorna,Thu Apr 14 01:16:55 +0000 2022,121.03131,14.407883,Wordle 299 3/6⬛⬛🟨🟨⬛⬛🟨🟨⬛🟩🟩🟩🟩🟩🟩
1.51E+18,Pezzamystic1,Thu Apr 14 01:17:22 +0000 2022,145.0531355,-37.9725665,Wordle 299 3/6 Yum!⬜⬜⬜🟩🟩⬜⬜🟨🟩🟩🟩🟩🟩🟩🟩
1.51E+18,WrexhamUSA,Thu Apr 14 01:19:35 +0000 2022,-117.0226945,38.502147,@DanWrexham Wordle 298 3/6⬜⬜⬜⬜⬜🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩Was shocked how close my second guess was after my first 😂🤣 (yesterday for you!)
1.51E+18,2017thangavel,Thu Apr 14 01:21:10 +0000 2022,78.289703,10.8187895,Wordle 299 4/6⬜⬜⬜🟨⬜⬜⬜🟨🟨🟩⬜🟩🟩⬜🟩🟩🟩🟩🟩🟩
1.51E+18,miguenavarro623,Thu Apr 14 01:21:10 +0000 2022,-70.5525235,-33.141947,Wordle (ES)  #97 5/6⬜🟨⬜⬜⬜⬜⬜⬜🟨⬜⬜⬜🟩🟩🟩⬜🟩🟩🟩🟩🟩🟩🟩🟩🟩 https://t.co/PjPQD8ume3
1.51E+18,DerekPG69,Thu Apr 14 01:21:11 +0000 2022,-2.669629,53.734336,Wordle 299 4/6⬛⬛⬛🟨⬛⬛🟩🟩⬛⬛⬛🟩🟩🟩⬛🟩🟩🟩🟩🟩
